c1,ETMA 101 CO1,"Students will be able to apply the knowledge of successive differentiation in various problems, different tests to find the nature of the infinite series and Taylor’s and Maclaurin’s series to find the expansion of mathematical functions."
c1,ETMA 101 CO2,"Students will gain thorough knowledge of the asymptotes of Cartesian curves, radius of curvature and trace the Cartesian, parametric and polar curves, application of integration and use of reduction formulae in finding the integration. They will also learn the fundamentals of Beta and Gamma functions."
c1,ETMA 101 CO3,"Students will learn theory of matrices, its inverse, rank and apply it to find the consistency and inconsistency of homogeneous and non-homogeneous linear systems. They will also apply the knowledge of the eigen values and eigen vectors in solving problems."
c1,ETMA 101 CO4,"Students will be acquainted with first order differential equations (Leibnitz and Bernoulli’s   equation,  Exact  differential  equation  and  its  reducible  form),  linear differential  equations  of  higher  order  and  also  gain  the  knowledge of  Bessel’s  and Legendre’s equations, functions and their recurrence relations."
c6,ETPH 103 CO1,"Will be able to understand the concepts of interference, diffraction and polarization; they can then use it to solve problems related to newton’s ring, diffraction grating and polarimeters"
c6,ETPH 103 CO2,Will be able to know more about various types of laser and fibre optic technologies and their applications.
c6,ETPH 103 CO3,Will be able to understand concepts related to special theory of relativity and connect it to real life problems.
c6,ETPH 103 CO4,"Will be able to understand about nuclear fission, fusion, accelerators and nuclear reactors and connect it to the problems associated with their applications."
c6,ETME 105 CO1,Become familiar with the machining manufacture and production fundamentals.
c6,ETME 105 CO2,Become familiar with the actual manufacturing technology and standards adopted on shop floor through hands on experimentation.
c6,ETME 105 CO3,"Decide and graphically represent the sequence of machining operations, which are most appropriate from the functionality point of view."
c6,ETME 105 CO4,"Learn the concepts of machining manufacture, which are important to minimize the production cost and production time along with the significant improvement in the quality of end product."
c6,ETEE 107 CO1,To familiarize students with basic laws and theorems governing DC electric circuits. This knowledge will enable them to solve DC circuits.
c6,ETEE 107 CO2,To familiarize students with basic laws and theorems governing AC electric circuits. This knowledge will enable them to solve single and three phase AC circuits.
c6,ETEE 107 CO3,To familiarize students construction and working of various types of electrical measuring instruments so as to apply this knowledge for proper selection of measuring instruments for desired purpose.
c6,ETEE 107 CO4,To enable students to learn fundamentals of ac and dc machines so as to use this knowledge to identify type of motor to be used for a particular application.
c7,ETHS 109 CO1,"The course will help the students appreciate the essential complementarity  between ‘VALUES’ and ‘SKILLS’ and assists students to imbibe ethical, moral, national and cultural values."
c7,ETHS 109 CO2,"The course will facilitate the development of a holistic perspective among students towards life, profession and happiness, based on the correct understanding of the human reality and the rest of the existence."
c7,ETHS 109 CO3,Students will learn to develop an understanding of the importance of ethics and sustainability in the modern organization as well as raise awareness of one’s place and role in a society.
c7,ETHS 109 CO4,"The course will assist the prospective engineers to handle emotions including tolerance and behavioral responses, building positive bonding with colleagues and employ professional responsibilities."
c6,ETCS 111 CO1,Basic Computer Organization and Peripheral Devices.
c6,ETCS 111 CO2,Overview of types and architecture of Operating System
c6,ETCS 111 CO3,Basics of Networking and DBMS
c6,ETCS 111 CO4,Libre Office Software
c6,ETCH 113 CO1,"Analyze the combustion data of solid, liquid and gasoline fuel and find the calorific value of fuel based on experimental and theoretical methods; along with the analysis  of flue gases ."
c6,ETCH 113 CO2,Appreciate the importance of catalytic chemical reactions in industry and life sciences.
c6,ETCH 113 CO3,Analyze the quality of water and can remove various impurities; soften water by using various methods discussed in this chapter for domestic as uses as well as for industrial uses.
c6,ETCH 113 CO4,Explain what is corrosion and how it can be prevented; and will be able to define various factors responsible for corrosion.
c1,ETCS 157 CO1,Identify various parts of a Personal Computer
c1,ETCS 157 CO2,Use commands and utilities of DOS and windows
c1,ETCS 157 CO3,Install and use Debian Linux
c1,ETCS 157 CO4,Create documents using Libra office
c1,ETMA 102 CO1,"Students will be able to apply the knowledge of partial differentiation in various problems. They will learn about Euler’s Theorem on homogeneous functions, derivatives of implicit functions, total derivative, change of variables, Jacobians, Taylor’s theorem for function of two variables, Error and approximation and their use in problems. They will be acquainted with extreme values of function of several variables, Lagrange’s method of undetermined multipliers and its application to various problems. They will gain knowledge of formulation of partial differential equations and capable of applying methods for finding solution of first order linear and nonlinear partial differential equations."
c1,ETMA 102 CO2,"Students will gain thorough knowledge of the Laplace Transformation and Inverse Laplace Transformation of standard functions and its application to various problems. They will also learn the properties of Laplace Transformation and Convolution Theorem and use of them in finding Laplace of variety of questions. They will be acquainted with Unit step function, Impulse function and Periodic function its Laplace Transform and their use in solving problems. They will be made aware of their application in finding the solution of ordinary differential equations."
c1,ETMA 102 CO3,"Students will learn about Complex Function and its derivatives, Analytic function, necessary condition for the function to be analytic – Cauchy Riemann Equations, Conformal and Bilinear mappings and their applications to questions. They will also apply the knowledge of the Complex integration in solving problems. They will gain knowledge of Taylor’s and Laurent’s series and use it to expand complex functions, zeros and singularities of complex functions. They will be acquainted with Residues, finding residues of complex functions, Residue Theorem and its application in Evaluation of real definite integrals."
c1,ETMA 102 CO4,"Students will be acquainted with multiple integrals: Double and Triple Integration, change of order of integration and use in solving questions. They will also gain the knowledge  of  Gradient,  Divergence,  Curl  and  directional  derivatives  by  solving questions. They will learn about Line integral, Surface integral and volume integrals. They will apply Green’s Theorem, Stoke’s Theorem and Gauss Divergence Theorem to various important problems."
c6,ETPH 104 CO1,"Will be able to understand about Maxwell’s equations, problems related to electromagnetism and its application to conducting and non-conducting media."
c6,ETPH 104 CO2,Will get familiarized with statistical physics and solution of advanced level problems.
c6,ETPH 104 CO3,"Will be able to understand the basic concepts of atomic and quantum physics and problems relating to wave functions, wave equations and its applications."
c6,ETPH 104 CO4,"Will clearly understand about the concepts of crystal structure and the types of semiconductor, energy band gap, biasing and its application,  Hall Effect and Kronig- Penny Model."
c6,ETEC 106 CO1,To acquire knowledge about semiconductor physics the intrinsic and extrinsic materials.
c6,ETEC 106 CO2,"To learn the basics of semiconductor diodes, BJT and their small signal and high frequency analysis and also their applications like regulators, rectifiers etc."
c6,ETEC 106 CO3,To study and analyze the performance of FET and MOSFET on the basis of their operation and working.
c6,ETEC 106 CO4,To study the basic operations of logic gates and Boolean algebra and also its applications.
c1,ETCS 108 CO1,Logic building practice using flowchart / algorithms
c1,ETCS 108 CO2,"Understand the basics of C- programming- data types, types of operators, decision making components and loops"
c1,ETCS 108 CO3,Design programs using primitive and user defined data types
c1,ETCS 108 CO4,Create the programs based on real world problems
c1,ETME 110 CO1,To understand the basic principle of Mechanics and its application in Engineering field.
c1,ETME 110 CO2,To design and develop the engineering system by applying the fundamental of engineering mechanics.
c1,ETME 110 CO3,"To understand the basic fundamental governing equation for, impact, rectilinear and curvilinear motion of particle as well as for rigid body."
c1,ETME 110 CO4,To understand the different types of rigid body motions as well as their governing equations and analysis of Beam.
c4,ETHS 112 CO1,Students will learn to use the standard grammar and mechanics of British English.
c4,ETHS 112 CO2,"Students will learn new vocabulary, use them correctly in a sentence, and understand their meaning in text."
